date,cumulative,new_cases
2023-01-19,668220526,324498
2023-01-20,668562246,341720
2023-01-21,668715650,153404
2023-01-22,668830077,114427
2023-01-23,669001131,171054
2023-01-24,669272951,271820
2023-01-25,669567171,294220
2023-01-26,669848920,281749
2023-01-27,670086844,237924
2023-01-28,670220207,133363
2023-01-29,670344054,123847
2023-01-30,670503932,159878
2023-01-31,670734589,230657
2023-02-01,671032404,297815
2023-02-02,671291489,259085
2023-02-03,671529548,238059
2023-02-04,671632287,102739
2023-02-05,671721476,89189
2023-02-06,671867463,145987
2023-02-07,672065240,197777
2023-02-08,672295338,230098
2023-02-09,672554241,258903
2023-02-10,672696324,142083
2023-02-11,672828531,132207
2023-02-12,672906177,77646
2023-02-13,673044131,137954
2023-02-14,673237731,193600
2023-02-15,673477639,239908
2023-02-16,673685532,207893
2023-02-17,673878833,193301
2023-02-18,673969796,90963
2023-02-19,674056229,86433
2023-02-20,674143589,87360
2023-02-21,674323721,180132
2023-02-22,674569824,246103
2023-02-23,674790916,221092
2023-02-24,674933342,142426
2023-02-25,674978793,45451
2023-02-26,675044414,65621
2023-02-27,675171439,127025
2023-02-28,675322238,150799
2023-03-01,675542852,220614
2023-03-02,675731911,189059
2023-03-03,675914580,182669
2023-03-04,675968775,54195
2023-03-05,676024901,56126
2023-03-06,676082941,58040
2023-03-07,676213378,130437
2023-03-08,676392824,179446
2023-03-09,676570149,177325
